Brand,Model_Name,Model_URL,Model_Image,Network_Technology,5G_Support,Announced,Status,Dimensions,Weight_g,Back_Material,IP_Rating,SIM_Type,Display_Type,Refresh_Rate_Hz,Display_Size_inch,Resolution,PPI_Density,Screen_to_Body_Pct,Display_Protection,OS,Chipset,Process_Node_nm,CPU,GPU,RAM_GB,RAM_Max_GB,Storage_GB,Storage_Max_GB,Storage_Type,Main_Camera_MP,Lens_Count,Main_Aperture,OIS,Sensor_Size,Camera_4K_Video,Camera_Features,Camera_Video,Selfie_Camera_MP,Selfie_4K_Video,Selfie_Camera_Features,Selfie_Camera_Video,WiFi,NFC,Bluetooth_Version,USB_Type,Headphone_Jack,GPS,Sensors,Battery_mAh,Wired_Charging_W,Wireless_Charging_W,Reverse_Wireless_Charging,Battery_ActiveUse,Price_USD,Price_EUR,Price_GBP,Price_INR,AnTuTu_Score,GeekBench_Score,ThreeDMark_Score,Display_nits_tested,Loudspeaker_LUFS,Colors,Model_Numbers,SAR_US,SAR_EU,FM_Radio
Apple,Apple iPhone 17e,https://www.gsmarena.com/apple_iphone_17e-14487.php,https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-17e.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, March 02","Available. Released 2026, March 11",146.7 x 71.5 x 7.8 mm (5.78 x 2.81 x 0.31 in),169.0,Ceramic,IP68,"· Nano-SIM + eSIM + eSIM (max 2 at a time; International) · eSIM + eSIM (8 or more, max 2 at a time; USA) · Nano-SIM + Nano-SIM (China)","Super Retina XDR OLED, HDR10, 800 nits (HBM), 1200 nits (peak)",,6.1,1170x2532,460,86.0,Ceramic Shield 2,"iOS 26.3, upgradable to iOS 26.5",Apple A19 (3 nm),3,Hexa-core (2x4.26 GHz + 4x2.60 GHz),Apple GPU (4-core graphics),8,8,256,512,NVMe,48.0,1,1.6,Yes,1/2.55,Yes,"Dual-LED dual-tone flash, HDR, panorama, 3D (spatial) audio","4K@24/25/30/60fps, 1080p@25/30/60/120/240fps, Dolby Vision HDR, OIS, stereo sound rec.",12.0,Yes,"HDR, Dolby Vision HDR, 3D (spatial) audio, stereo sound rec.","4K@24/25/30/60fps, 1080p@25/30/60/120fps, Dolby Vision HDR","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, hotspot",Yes,5.3,Type-C,No,"GPS, GLONASS, GALILEO, BDS, QZSS, NavIC","Face ID, accelerometer, gyro, proximity, compass, barometer",4005,15,15,No,Active use score 15:30h,649.99,669.0,599.0,64900,2187425,9296,4226,814,-26.7,"Black, White, Soft Pink","A3634, A3575, A3635, iPhone18,5",1.20 W/kg (head) 1.20 W/kg (body),1.49 W/kg (head) 1.49 W/kg (body),No
Apple,Apple iPad Air 13 (2026),https://www.gsmarena.com/apple_ipad_air_13_5g_(2026)-14521.php,https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-air-13-2025.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, March 02","Available. Released 2026, March 11",280.6 x 214.9 x 6.1 mm (11.05 x 8.46 x 0.24 in),616.0,Glass,,eSIM (cellular model only),"Liquid Retina IPS LCD, 600 nits (typ)",,13.0,2048x2732,264,86.1,"Scratch-resistant glass, oleophobic coat","iPadOS 26.3, upgradable to iPadOS 26.4",Apple M4,,Octa-core (4 performance cores and 4 efficiency cores),Apple GPU (9-core graphics),12,12,128,512,,12.0,1,1.8,No,1/3.0,Yes,HDR,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps; gyro-EIS",12.0,No,HDR,1080p@25/30/60fps; gyro-EIS,"Wi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band, hotspot",No,6.0,Type-C,No,"GPS, GLONASS (5G model only)","Fingerprint (top-mounted), accelerometer, gyro, compass, barometer",9705,,,No,,,,,,,,,,,"Space Gray, Starlight, Purple, Blue","A3462, A3464, A3461, iPad16,10, iPad16,11",1.19 W/kg (body),1.50 W/kg (body),No
Apple,Apple iPad Air 11 (2026),https://www.gsmarena.com/apple_ipad_air_11_5g_(2026)-14520.php,https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-air-11-2025.jpg,GSM / HSPA / LTE / 5G,Yes,"2026, March 02","Available. Released 2026, March 11",247.6 x 178.5 x 6.1 mm (9.75 x 7.03 x 0.24 in),464.0,Glass,,eSIM (cellular model only),"Liquid Retina IPS LCD, 500 nits (typ)",,11.0,1640x2360,264,80.9,"Scratch-resistant glass, oleophobic coat","iPadOS 26.3, upgradable to iPadOS 26.4",Apple M4,,Octa-core (4 performance cores and 4 efficiency cores),Apple GPU (9-core graphics),12,12,128,512,,12.0,1,1.8,No,1/3.0,Yes,HDR,"4K@24/25/30/60fps, 1080p@25/30/60/120/240fps; gyro-EIS",12.0,No,HDR,1080p@25/30/60fps; gyro-EIS,"Wi-Fi 802.11 a/b/g/n/ac/6e/7 dual-band, hotspot",No,6.0,Type-C,No,"GPS, GLONASS (5G model only)","Fingerprint (top-mounted), accelerometer, gyro, compass, barometer",7606,,,No,,,,,,,,,,,"Space Gray, Starlight, Purple, Blue","A3460, A3463, A3459, iPad16,8, iPad16,9",1.19 W/kg (body),1.50 W/kg (body),No
